"actor","movie"
"Leonardo DiCaprio","Titanic"
"Kate Winslet","Titanic"
"Billy Zane","Titanic"
"Kathy Bates","Titanic"
"Frances Fisher","Titanic"
"Bernard Hill","Titanic"
"Jonathan Hyde","Titanic"
"Danny Nucci","Titanic"
"David Warner","Titanic"
"Bill Paxton","Titanic"
"Gloria Stuart","Titanic"
"Victor Garber","Titanic"
"Suzy Amis","Titanic"
