"movie"
"Forest Gump"
"Titanic"
"Cadena perpetua"
"Braveheart"
"La lista de Schindler"
"Toy Story"
"Eduardo Manostijeras"
"Salvar al soldado Ryan"
"American History X"
"El sexto sentido"
"Pulp Fiction"
"El silencio de los corderos"
"El club de la pelea"
"Parque JurÃ¡sico"
"Matrix"
"La milla verde"
"Seven"
"Terminator 2: el juicio final"
"Hombres de negro"
"El show de Truman"
"Toy Story 2"
"Pesadilla antes de navidad"
"Entrevista con el vampiro"
"El Padrino. Parte III"
"El profesional"
"American Beauty"
"Trainspotting"
"Star Wars. Episodio I: La amenaza fantasma"
"Mejor... imposible"
"Uno de los nuestros"
